geoid,county_name_official,county_name
48273,Kleberg,Kleberg
48391,Refugio,Refugio
48201,Harris,Harris
48443,Terrell,Terrell
48229,Hudspeth,Hudspeth
48205,Hartley,Hartley
48351,Newton,Newton
48373,Polk,Polk
48139,Ellis,Ellis
48491,Williamson,Williamson
48213,Henderson,Henderson
48005,Angelina,Angelina
48441,Taylor,Taylor
48199,Hardin,Hardin
48055,Caldwell,Caldwell
48063,Camp,Camp
48395,Robertson,Robertson
48223,Hopkins,Hopkins
48225,Houston,Houston
48341,Moore,Moore
48461,Upton,Upton
48387,Red River,Red River
48383,Reagan,Reagan
48313,Madison,Madison
48243,Jeff Davis,Jeff Davis
48167,Galveston,Galveston
48261,Kenedy,Kenedy
48479,Webb,Webb
48409,San Patricio,San Patricio
48141,El Paso,El Paso
48321,Matagorda,Matagorda
48245,Jefferson,Jefferson
48455,Trinity,Trinity
48015,Austin,Austin
48035,Bosque,Bosque
48001,Anderson,Anderson
48119,Delta,Delta
48469,Victoria,Victoria
48411,San Saba,San Saba
48459,Upshur,Upshur
48083,Coleman,Coleman
48153,Floyd,Floyd
48471,Walker,Walker
48477,Washington,Washington
48335,Mitchell,Mitchell
48343,Morris,Morris
48263,Kent,Kent
48011,Armstrong,Armstrong
48091,Comal,Comal
48453,Travis,Travis
48475,Ward,Ward
48161,Freestone,Freestone
48073,Cherokee,Cherokee
48293,Limestone,Limestone
48499,Wood,Wood
48333,Mills,Mills
48317,Martin,Martin
48071,Chambers,Chambers
48323,Maverick,Maverick
48203,Harrison,Harrison
48037,Bowie,Bowie
48277,Lamar,Lamar
48359,Oldham,Oldham
48315,Marion,Marion
48135,Ector,Ector
48401,Rusk,Rusk
48103,Crane,Crane
48115,Dawson,Dawson
48089,Colorado,Colorado
48287,Lee,Lee
48347,Nacogdoches,Nacogdoches
48025,Bee,Bee
48405,San Augustine,San Augustine
48319,Mason,Mason
48173,Glasscock,Glasscock
48339,Montgomery,Montgomery
48227,Howard,Howard
48289,Leon,Leon
48241,Jasper,Jasper
48449,Titus,Titus
48403,Sabine,Sabine
48215,Hidalgo,Hidalgo
48057,Calhoun,Calhoun
48465,Val Verde,Val Verde
48419,Shelby,Shelby
48507,Zavala,Zavala
48349,Navarro,Navarro
48051,Burleson,Burleson
48473,Waller,Waller
48185,Grimes,Grimes
48033,Borden,Borden
48041,Brazos,Brazos
48053,Burnet,Burnet
48407,San Jacinto,San Jacinto
48427,Starr,Starr
48377,Presidio,Presidio
48239,Jackson,Jackson
48019,Bandera,Bandera
48381,Randall,Randall
48481,Wharton,Wharton
48007,Aransas,Aransas
48187,Guadalupe,Guadalupe
48189,Hale,Hale
48355,Nueces,Nueces
48043,Brewster,Brewster
48029,Bexar,Bexar
48423,Smith,Smith
48311,McMullen,Mcmullen
48061,Cameron,Cameron
48353,Nolan,Nolan
48039,Brazoria,Brazoria
48447,Throckmorton,Throckmorton
48301,Loving,Loving
48379,Rains,Rains
48105,Crockett,Crockett
48265,Kerr,Kerr
48371,Pecos,Pecos
48361,Orange,Orange
48155,Foard,Foard
48467,Van Zandt,Van Zandt
48157,Fort Bend,Fort Bend
48013,Atascosa,Atascosa
48121,Denton,Denton
48325,Medina,Medina
