county_geoid,hha_n,snf_n,providers_total
48113,361,83,444
48201,314,96,410
48439,102,71,173
48029,79,62,141
48157,115,15,130
48215,91,22,113
48085,87,22,109
48141,60,22,82
48121,53,18,71
48453,28,28,56
48061,32,14,46
48479,40,6,46
48355,28,14,42
48423,17,17,34
48491,19,15,34
48245,18,14,32
48181,18,11,29
48303,14,15,29
48167,16,12,28
48027,9,16,25
48039,12,13,25
48183,12,13,25
48309,6,17,23
48485,12,11,23
48339,10,11,21
48441,8,12,20
48005,11,8,19
48375,8,9,17
48139,6,10,16
48041,8,7,15
48249,11,3,14
48277,9,5,14
48367,5,9,14
48037,6,7,13
48187,5,8,13
48231,8,5,13
48251,4,9,13
48257,5,8,13
48451,6,7,13
48135,6,6,12
48209,6,6,12
48329,7,5,12
48001,5,6,11
48397,6,5,11
48469,7,4,11
48049,3,7,10
48213,4,6,10
48427,8,2,10
48323,6,3,9
48467,3,6,9
48241,5,3,8
48259,2,6,8
48347,4,4,8
48361,5,3,8
48053,3,4,7
48073,1,6,7
48349,1,6,7
48013,1,5,6
48021,1,5,6
48067,2,4,6
48091,0,6,6
48097,2,4,6
48149,1,5,6
48171,2,4,6
48221,2,4,6
48223,2,4,6
48227,3,3,6
48265,2,4,6
48321,3,3,6
48373,2,4,6
48401,3,3,6
48449,3,3,6
48481,2,4,6
48497,2,4,6
48055,0,5,5
48099,1,4,5
48123,1,4,5
48133,1,4,5
48147,0,5,5
48199,0,5,5
48203,2,3,5
48217,1,4,5
48285,0,5,5
48291,1,4,5
48293,0,5,5
48381,2,3,5
48457,3,2,5
48477,1,4,5
48493,1,4,5
48499,0,5,5
48503,2,3,5
48007,2,2,4
48025,2,2,4
48035,1,3,4
48071,2,2,4
48089,0,4,4
48143,1,3,4
48161,1,3,4
48193,1,3,4
48255,1,3,4
48325,1,3,4
48331,1,3,4
48387,2,2,4
48399,2,2,4
48471,1,3,4
48505,3,1,4
48015,1,2,3
48057,1,2,3
48063,2,1,3
48083,1,2,3
48093,0,3,3
48107,1,2,3
48131,2,1,3
48145,1,2,3
48177,1,2,3
48179,0,3,3
48189,1,2,3
48225,0,3,3
48233,1,2,3
48239,1,2,3
48273,1,2,3
48275,1,2,3
48279,0,3,3
48281,0,3,3
48313,1,2,3
48337,1,2,3
48353,1,2,3
48365,0,3,3
48369,1,2,3
48395,0,3,3
48405,0,3,3
48419,0,3,3
48445,1,2,3
48455,0,3,3
48465,0,3,3
48003,1,1,2
48019,0,2,2
48023,1,1,2
48051,0,2,2
48059,0,2,2
48069,0,2,2
48075,1,1,2
48077,1,1,2
48081,0,2,2
48087,1,1,2
48119,1,1,2
48129,1,1,2
48159,1,1,2
48163,1,1,2
48185,0,2,2
48211,1,1,2
48219,0,2,2
48253,0,2,2
48287,0,2,2
48299,0,2,2
48333,0,2,2
48335,1,1,2
48341,0,2,2
48357,1,1,2
48363,0,2,2
48371,1,1,2
48389,1,1,2
48403,0,2,2
48409,0,2,2
48415,1,1,2
48425,0,2,2
48459,0,2,2
48463,0,2,2
48483,1,1,2
48487,1,1,2
48011,0,1,1
48017,0,1,1
48031,0,1,1
48043,1,0,1
48047,0,1,1
48095,0,1,1
48103,0,1,1
48105,0,1,1
48115,0,1,1
48117,0,1,1
48127,0,1,1
48155,0,1,1
48165,0,1,1
48169,0,1,1
48175,0,1,1
48191,0,1,1
48195,0,1,1
48207,0,1,1
48237,0,1,1
48247,0,1,1
48263,0,1,1
48283,0,1,1
48289,0,1,1
48295,0,1,1
48297,0,1,1
48307,0,1,1
48315,0,1,1
48317,1,0,1
48319,1,0,1
48327,0,1,1
48343,0,1,1
48345,0,1,1
48351,0,1,1
48379,0,1,1
48383,0,1,1
48385,0,1,1
48391,0,1,1
48407,0,1,1
48411,0,1,1
48413,0,1,1
48417,1,0,1
48421,0,1,1
48429,0,1,1
48431,0,1,1
48433,0,1,1
48461,0,1,1
48473,0,1,1
48475,0,1,1
48489,0,1,1
48501,0,1,1
48507,1,0,1
