county_geoid,county_name,total_pop,pop_65p,hha_n,snf_n,providers_total,providers_per_10k_65p,hha_per_10k_65p,snf_per_10k_65p
48001,Anderson County,57825,8698,5,6,11,12.646585421936079,5.748447919061853,6.898137502874224
48003,Andrews County,18518,1790,1,1,2,11.1731843575419,5.58659217877095,5.58659217877095
48005,Angelina County,86791,14346,11,8,19,13.244109856405968,7.66764254844556,5.5764673079604075
48007,Aransas County,24449,6844,2,2,4,5.844535359438924,2.922267679719462,2.922267679719462
48009,Archer County,8734,1834,0,0,0,0,0,0
48011,Armstrong County,1883,489,0,1,1,20.449897750511248,0,20.449897750511248
48013,Atascosa County,50058,7518,1,5,6,7.980845969672786,1.3301409949454643,6.650704974727321
48015,Austin County,30712,6404,1,2,3,4.684572142410993,1.561524047470331,3.123048094940662
48017,Bailey County,7044,1226,0,1,1,8.156606851549755,0,8.156606851549755
48019,Bandera County,21589,6347,0,2,2,3.1510950055144167,0,3.1510950055144167
48021,Bastrop County,102370,15617,1,5,6,3.8419670871486202,0.6403278478581034,3.201639239290517
48023,Baylor County,3464,916,1,1,2,21.83406113537118,10.91703056768559,10.91703056768559
48025,Bee County,31000,3906,2,2,4,10.240655401945725,5.1203277009728625,5.1203277009728625
48027,Bell County,379811,43995,9,16,25,5.6824639163541315,2.0456870098874873,3.6367769064666438
48029,Bexar County,2037344,257782,79,62,141,5.46973799567076,3.064604976297802,2.4051330193729585
48031,Blanco County,12008,3073,0,1,1,3.254149040026033,0,3.254149040026033
48033,Borden County,723,98,0,0,0,0,0,0
48035,Bosque County,18546,4684,1,3,4,8.539709649871904,2.134927412467976,6.4047822374039285
48037,Bowie County,92321,15998,6,7,13,8.126015751968996,3.7504688086010756,4.375546943367921
48039,Brazoria County,381650,47818,12,13,25,5.228156761052324,2.5095152453051153,2.718641515747208
48041,Brazos County,237980,23376,8,7,15,6.416837782340862,3.4223134839151266,2.9945242984257354
48043,Brewster County,9464,2392,1,0,1,4.1806020066889635,4.1806020066889635,0
48045,Briscoe County,1223,342,0,0,0,0,0,0
48047,Brooks County,6987,1274,0,1,1,7.849293563579279,0,7.849293563579279
48049,Brown County,38294,7871,3,7,10,12.704865963664083,3.8114597890992252,8.89340617456486
48051,Burleson County,18327,4110,0,2,2,4.866180048661801,0,4.866180048661801
48053,Burnet County,51064,11927,3,4,7,5.869036639557307,2.5153014169531316,3.3537352226041754
48055,Caldwell County,47184,7171,0,5,5,6.9725282387393674,0,6.9725282387393674
48057,Calhoun County,19921,3707,1,2,3,8.09279741030483,2.697599136768276,5.395198273536552
48059,Callahan County,14017,2911,0,2,2,6.870491240123669,0,6.870491240123669
48061,Cameron County,423192,59431,32,14,46,7.740068314515994,5.384395349228517,2.3556729652874764
48063,Camp County,12652,2282,2,1,3,13.146362839614374,8.76424189307625,4.382120946538125
48065,Carson County,5802,1273,0,0,0,0,0,0
48067,Cass County,28582,6342,2,4,6,9.460737937559129,3.15357931251971,6.30715862503942
48069,Castro County,7328,1233,0,2,2,16.220600162206,0,16.220600162206
48071,Chambers County,49178,6221,2,2,4,6.429834431763383,3.2149172158816914,3.2149172158816914
48073,Cherokee County,51143,9195,1,6,7,7.6128330614464375,1.0875475802066341,6.525285481239805
48075,Childress County,6772,1121,1,1,2,17.84121320249777,8.920606601248885,8.920606601248885
48077,Clay County,10402,2361,1,1,2,8.470986869970352,4.235493434985176,4.235493434985176
48079,Cochran County,2520,423,0,0,0,0,0,0
48081,Coke County,3315,913,0,2,2,21.90580503833516,0,21.90580503833516
48083,Coleman County,7765,2038,1,2,3,14.720314033366044,4.906771344455348,9.813542688910696
48085,Collin County,1116601,127014,87,22,109,8.581731147747492,6.849638622514054,1.732092525233439
48087,Collingsworth County,2733,587,1,1,2,34.07155025553663,17.035775127768314,17.035775127768314
48089,Colorado County,20736,4732,0,4,4,8.4530853761623,0,8.4530853761623
48091,Comal County,174552,32385,0,6,6,1.8527095877721167,0,1.8527095877721167
48093,Comanche County,13786,3263,0,3,3,9.193993257738278,0,9.193993257738278
48095,Concho County,3301,656,0,1,1,15.24390243902439,0,15.24390243902439
48097,Cooke County,42473,7897,2,4,6,7.597821957705458,2.532607319235153,5.065214638470306
48099,Coryell County,83772,9221,1,4,5,5.422405379026135,1.0844810758052272,4.337924303220909
48101,Cottle County,1302,339,0,0,0,0,0,0
48103,Crane County,4623,694,0,1,1,14.40922190201729,0,14.40922190201729
48105,Crockett County,2881,622,0,1,1,16.077170418006432,0,16.077170418006432
48107,Crosby County,5072,969,1,2,3,30.959752321981426,10.319917440660474,20.639834881320947
48109,Culberson County,2181,583,0,0,0,0,0,0
48111,Dallam County,7180,689,0,0,0,0,0,0
48113,Dallas County,2603816,298992,361,83,444,14.849895649381923,12.073901642853322,2.775994006528603
48115,Dawson County,12311,1663,0,1,1,6.013229104028864,0,6.013229104028864
48117,Deaf Smith County,18487,2461,0,1,1,4.063388866314506,0,4.063388866314506
48119,Delta County,5345,1097,1,1,2,18.231540565177756,9.115770282588878,9.115770282588878
48121,Denton County,945644,106051,53,18,71,6.694892080225553,4.997595496506398,1.6972965837191538
48123,DeWitt County,19853,3953,1,4,5,12.648621300278268,2.5297242600556538,10.118897040222615
48125,Dickens County,1641,401,0,0,0,0,0,0
48127,Dimmit County,8507,1409,0,1,1,7.097232079488999,0,7.097232079488999
48129,Donley County,3276,882,1,1,2,22.675736961451246,11.337868480725623,11.337868480725623
48131,Duval County,9824,1533,2,1,3,19.569471624266143,13.04631441617743,6.523157208088715
48133,Eastland County,17846,3910,1,4,5,12.787723785166241,2.5575447570332477,10.23017902813299
48135,Ector County,163206,16038,6,6,12,7.482229704451926,3.741114852225963,3.741114852225963
48137,Edwards County,1392,315,0,0,0,0,0,0
48139,Ellis County,203927,26397,6,10,16,6.061294844111073,2.2729855665416525,3.788309277569421
48141,El Paso County,866275,111186,60,22,82,7.375029230298779,5.3963628514381305,1.978666378860648
48143,Erath County,43244,6292,1,3,4,6.357279084551812,1.589319771137953,4.767959313413859
48145,Falls County,17063,3315,1,2,3,9.049773755656108,3.0165912518853695,6.033182503770739
48147,Fannin County,36525,6502,0,5,5,7.689941556444171,0,7.689941556444171
48149,Fayette County,24783,6519,1,5,6,9.203865623561896,1.5339776039269826,7.669888019634913
48151,Fisher County,3661,792,0,0,0,0,0,0
48153,Floyd County,5294,1017,0,0,0,0,0,0
48155,Foard County,1079,313,0,1,1,31.948881789137378,0,31.948881789137378
48157,Fort Bend County,859721,104644,115,15,130,12.423072512518635,10.989641068766485,1.43343144375215
48159,Franklin County,10522,2323,1,1,2,8.609556607834696,4.304778303917348,4.304778303917348
48161,Freestone County,19813,3957,1,3,4,10.108668182966893,2.5271670457417232,7.58150113722517
48163,Frio County,18019,2221,1,1,2,9.0049527239982,4.5024763619991,4.5024763619991
48165,Gaines County,21904,2062,0,1,1,4.849660523763337,0,4.849660523763337
48167,Galveston County,354721,54316,16,12,28,5.155018778996981,2.945725016569703,2.2092937624272775
48169,Garza County,5435,805,0,1,1,12.422360248447205,0,12.422360248447205
48171,Gillespie County,27202,8077,2,4,6,7.428500680945897,2.476166893648632,4.952333787297264
48173,Glasscock County,1070,165,0,0,0,0,0,0
48175,Goliad County,7096,1733,0,1,1,5.770340450086555,0,5.770340450086555
48177,Gonzales County,19764,3851,1,2,3,7.790184367696702,2.596728122565567,5.193456245131134
48179,Gray County,21131,3463,0,3,3,8.663008951775916,0,8.663008951775916
48181,Grayson County,139988,25021,18,11,29,11.590264178090404,7.193957076056114,4.3963071020342905
48183,Gregg County,124860,19772,12,13,25,12.64414323285454,6.06918875177018,6.574954481084361
48185,Grimes County,30385,5634,0,2,2,3.549875754348598,0,3.549875754348598
48187,Guadalupe County,178368,25942,5,8,13,5.0111787834399815,1.9273764551692236,3.083802328270758
48189,Hale County,32247,4523,1,2,3,6.632765863365023,2.210921954455008,4.421843908910016
48191,Hall County,2827,696,0,1,1,14.367816091954023,0,14.367816091954023
48193,Hamilton County,8320,2078,1,3,4,19.249278152069298,4.8123195380173245,14.436958614051973
48195,Hansford County,5182,718,0,1,1,13.927576601671309,0,13.927576601671309
48197,Hardeman County,3529,768,0,0,0,0,0,0
48199,Hardin County,57126,9955,0,5,5,5.022601707684581,0,5.022601707684581
48201,Harris County,4758579,543463,314,96,410,7.544211841468509,5.777762239563686,1.7664496019048213
48203,Harrison County,69584,11934,2,3,5,4.189710072063013,1.6758840288252055,2.513826043237808
48205,Hartley County,5307,877,0,0,0,0,0,0
48207,Haskell County,5390,1240,0,1,1,8.064516129032258,0,8.064516129032258
48209,Hays County,256429,30511,6,6,12,3.933007767690341,1.9665038838451705,1.9665038838451705
48211,Hemphill County,3311,635,1,1,2,31.496062992125985,15.748031496062993,15.748031496062993
48213,Henderson County,83658,18727,4,6,10,5.339883590537726,2.1359534362150905,3.2039301543226357
48215,Hidalgo County,880921,101496,91,22,113,11.133443682509656,8.965870576180341,2.1675731063293133
48217,Hill County,36664,7442,1,4,5,6.7186240257995165,1.3437248051599031,5.3748992206396125
48219,Hockley County,21455,3263,0,2,2,6.129328838492185,0,6.129328838492185
48221,Hood County,64198,16302,2,4,6,3.68052999631947,1.22684333210649,2.45368666421298
48223,Hopkins County,37351,6858,2,4,6,8.748906386701663,2.916302128900554,5.832604257801108
48225,Houston County,22042,4825,0,3,3,6.217616580310881,0,6.217616580310881
48227,Howard County,33127,4329,3,3,6,13.86001386001386,6.93000693000693,6.93000693000693
48229,Hudspeth County,3331,370,0,0,0,0,0,0
48231,Hunt County,104917,16382,8,5,13,7.935539006226346,4.883408619216213,3.052130387010133
48233,Hutchinson County,20413,3549,1,2,3,8.4530853761623,2.817695125387433,5.635390250774866
48235,Irion County,1432,311,0,0,0,0,0,0
48237,Jack County,8623,1504,0,1,1,6.648936170212766,0,6.648936170212766
48239,Jackson County,15081,2971,1,2,3,10.097610232245035,3.365870077415012,6.731740154830024
48241,Jasper County,32807,6790,5,3,8,11.7820324005891,7.363770250368188,4.418262150220913
48243,Jeff Davis County,1740,680,0,0,0,0,0,0
48245,Jefferson County,253939,38422,18,14,32,8.328561761490812,4.684815990838582,3.643745770652231
48247,Jim Hogg County,4797,405,0,1,1,24.691358024691358,0,24.691358024691358
48249,Jim Wells County,38863,6147,11,3,14,22.77533756303888,17.894908085244833,4.880429477794046
48251,Johnson County,188820,26499,4,9,13,4.905845503603909,1.5094909241858183,3.3963545794180914
48253,Jones County,19968,3169,0,2,2,6.311139160618492,0,6.311139160618492
48255,Karnes County,14819,2206,1,3,4,18.13236627379873,4.533091568449683,13.599274705349048
48257,Kaufman County,160718,17500,5,8,13,7.428571428571429,2.857142857142857,4.571428571428571
48259,Kendall County,46971,9348,2,6,8,8.557980316645272,2.139495079161318,6.418485237483953
48261,Kenedy County,52,26,0,0,0,0,0,0
48263,Kent County,727,242,0,1,1,41.32231404958678,0,41.32231404958678
48265,Kerr County,53166,15227,2,4,6,3.940369081237276,1.3134563604124254,2.626912720824851
48267,Kimble County,4355,1369,0,0,0,0,0,0
48269,King County,189,43,0,0,0,0,0,0
48271,Kinney County,3140,828,0,0,0,0,0,0
48273,Kleberg County,30629,4044,1,2,3,7.4183976261127595,2.472799208704253,4.945598417408506
