ccn,provider_name,state,county_raw,city,zip,latitude,longitude,county_name,geoid,county_name_official
45094,REAGAN COUNTY CARE CENTER,TX,Reagan,BIG LAKE,76932,31.2024,-101.46,Reagan,48383,Reagan
45197,BOOKER HOSPITAL DISTRICT DBA: TWIN OAKS MANOR,TX,Lipscomb,BOOKER,79005,36.4603,-100.54,Lipscomb,48295,Lipscomb
45199,MEMORIAL NURSING AND REHABILITATION CENTER,TX,Moore,DUMAS,79029,35.8643,-101.97,Moore,48341,Moore
45312,SAN JOSE NURSING CENTER,TX,Bexar,SAN ANTONIO,78221,29.3536,-98.509,Bexar,48029,Bexar
45341,HIGHLAND NURSING CENTER,TX,Bexar,SAN ANTONIO,78223,29.3689,-98.436,Bexar,48029,Bexar
45409,JOHN PAUL II NURSING HOME,TX,Karnes,KENEDY,78119,28.8176,-97.85,Karnes,48255,Karnes
45410,ST. FRANCIS NURSING HOME,TX,Bexar,SAN ANTONIO,78212,29.4529,-98.503,Bexar,48029,Bexar
45470,TRUMAN W SMITH CHILDREN'S CARE CENTER,TX,Gregg,GLADEWATER,75647,32.5438,-94.964,Gregg,48183,Gregg
45497,HANSFORD MANOR,TX,Hansford,SPEARMAN,79081,36.1909,-101.2,Hansford,48195,Hansford
455001,Avir at Beaumont,TX,Jefferson,BEAUMONT,77707,30.0657,-94.141,Jefferson,48245,Jefferson
455020,Avir at New Braunfels,TX,Comal,New Braunfels,78130,29.7196,-98.081,Comal,48091,Comal
455069,BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL SKIL,TX,Bell,TEMPLE,76504,31.0775,-97.366,Bell,48027,Bell
455278,KNOPP HEALTHCARE AND REHAB CENTER INC,TX,Gillespie,FREDERICKSBURG,78624,30.2839,-98.861,Gillespie,48171,Gillespie
455333,Sharpville Residence and Rehabilitation Center,TX,Harris,Houston,77036,29.713,-95.516,Harris,48201,Harris
455351,Legacy Nursing and Rehabilitation,TX,Brazos,Bryan,77802,30.6533,-96.346,Brazos,48041,Brazos
455390,BUENA VIDA NURSING AND REHAB-SAN ANTONIO,TX,Bexar,SAN ANTONIO,78222,29.3758,-98.42,Bexar,48029,Bexar
455412,Brookhaven Nursing and Rehabilitation Center,TX,Denton,Carrollton,75010,33.0296,-96.886,Denton,48121,Denton
455416,WILLOW RIDGE WELLNESS & REHABILITATION,TX,Tarrant,Fort Worth,76108,32.7402,-97.457,Tarrant,48439,Tarrant
455423,MESA HILLS POST ACUTE,TX,Cameron,BROWNSVILLE,78520,25.9391,-97.508,Cameron,48061,Cameron
455429,ROSE TRAIL NURSING AND REHABILITATION CENTER,TX,Smith,TYLER,75701,32.3384,-95.286,Smith,48423,Smith
455444,MESA VISTA INN HEALTH CENTER,TX,Bexar,SAN ANTONIO,78240,29.5123,-98.6,Bexar,48029,Bexar
455450,MERIDIAN CARE MONTE VISTA,TX,Bexar,SAN ANTONIO,78212,29.451,-98.5,Bexar,48029,Bexar
455455,MERIDIAN CARE OF ALICE,TX,Jim Wells,ALICE,78332,27.7427,-98.086,Jim Wells,48249,Jim Wells
455457,Fort Worth Wellness & Rehabilitation,TX,Tarrant,Fort Worth,76114,32.7928,-97.398,Tarrant,48439,Tarrant
455463,THE MEADOWS HEALTH AND REHABILITATION CENTER,TX,Dallas,DALLAS,75231,32.8859,-96.759,Dallas,48113,Dallas
455467,ASBURY CARE CENTER OF ALAMO,TX,Bexar,SAN ANTONIO,78209,29.5118,-98.466,Bexar,48029,Bexar
455471,Mountain View Health & Rehabilitation,TX,El Paso,El Paso,79902,31.789,-106.5,El Paso,48141,El Paso
455475,WHITE SETTLEMENT NURSING CENTER,TX,Tarrant,WHITE SETTLEMENT,76108,32.7551,-97.449,Tarrant,48439,Tarrant
455477,LAKE JACKSON HEALTHCARE CENTER,TX,Brazoria,LAKE JACKSON,77566,29.014,-95.424,Brazoria,48039,Brazoria
455478,THE HEIGHTS NURSING AND REHABILITATION,TX,Mc Lennan,WACO,76707,31.5569,-97.166,Mclennan,48309,McLennan
455480,HERITAGE CONVALESCENT CENTER,TX,Potter,AMARILLO,79106,35.2049,-101.9,Potter,48375,Potter
455484,SAN JUAN NURSING HOME INC,TX,Hidalgo,SAN JUAN,78589,26.1922,-98.155,Hidalgo,48215,Hidalgo
455485,AVIR AT PETAL HILL,TX,Smith,TYLER,75701,32.3387,-95.286,Smith,48423,Smith
455486,Ennis Care Center,TX,Ellis,Ennis,75119,32.3123,-96.631,Ellis,48139,Ellis
455489,Avir at Jeffrey Place,TX,Mc Lennan,Waco,76710,31.5265,-97.185,Mclennan,48309,McLennan
455490,The Lakes at Texas City,TX,Galveston,Texas City,77591,29.3871,-95.005,Galveston,48167,Galveston
455493,Vista Hills Health Care Center,TX,El Paso,El Paso,79935,31.7574,-106.33,El Paso,48141,El Paso
455494,GLENVIEW WELLNESS & REHABILITATION,TX,Tarrant,NORTH RICHLAND HILLS,76180,32.8238,-97.214,Tarrant,48439,Tarrant
455497,CREEKSIDE TERRACE REHABILITATION,TX,Bell,BELTON,76513,31.0538,-97.486,Bell,48027,Bell
455503,ROSEWOOD HEIGHTS,TX,Bell,KILLEEN,76543,31.1176,-97.721,Bell,48027,Bell
455509,STERLING HILLS REHABILITATION AND HEALTHCARE CENTE,TX,Nolan,SWEETWATER,79556,32.4552,-100.39,Nolan,48353,Nolan
455510,Castle Hills Rehabilitation and Care Center,TX,Bexar,San Antonio,78216,29.5358,-98.506,Bexar,48029,Bexar
455513,Lampasas Nursing and Rehabilitation Center,TX,Lampasas,Lampasas,76550,31.0712,-98.188,Lampasas,48281,Lampasas
455515,"Copperas Cove LTC Partners, Inc.",TX,Coryell,Copperas Cove,76522,31.1276,-97.907,Coryell,48099,Coryell
455522,Avir at Temple West,TX,Bell,TEMPLE,76502,31.0652,-97.372,Bell,48027,Bell
455523,MORNINGSIDE MANOR,TX,Bexar,SAN ANTONIO,78201,29.4767,-98.548,Bexar,48029,Bexar
455528,Laredo West Nursing and Rehabilitation Center,TX,Webb,Laredo,78043,27.513,-99.48,Webb,48479,Webb
455532,PLEASANT SPRINGS HEALTHCARE CENTER,TX,Titus,MOUNT PLEASANT,75455,33.1696,-94.978,Titus,48449,Titus
455533,WINDCREST NURSING AND REHABILITATION,TX,Bexar,SAN ANTONIO,78239,29.5197,-98.394,Bexar,48029,Bexar
455536,AMISTAD NURSING AND REHABILITATION CENTER,TX,Uvalde,UVALDE,78801,29.2101,-99.775,Uvalde,48463,Uvalde
455538,MAGNOLIA MANOR,TX,Jefferson,GROVES,77619,29.946,-93.925,Jefferson,48245,Jefferson
455544,Paradigm at Stevens,TX,De Witt,Yoakum,77995,29.2937,-97.159,Dewitt,48123,DeWitt
455549,Jourdanton Nursing and Rehabilitation,TX,Atascosa,Jourdanton,78026,28.9186,-98.542,Atascosa,48013,Atascosa
455550,Avir at Center,TX,Shelby,CENTER,75935,31.7951,-94.164,Shelby,48419,Shelby
455551,PLAINVIEW HEALTHCARE CENTER,TX,Hale,PLAINVIEW,79072,34.2048,-101.73,Hale,48189,Hale
455554,Coral Rehabilitation and Nursing of McGregor,TX,Mc Lennan,Mc Gregor,76657,31.4334,-97.419,Mclennan,48309,McLennan
455555,GARDEN TERRACE HEALTHCARE CENTER,TX,Young,GRAHAM,76450,33.0878,-98.579,Young,48503,Young
455557,The Palms Nursing & Rehabilitation,TX,Nueces,Corpus Christi,78411,27.7068,-97.389,Nueces,48355,Nueces
455560,MCALLEN NURSING CENTER,TX,Hidalgo,MCALLEN,78501,26.2077,-98.215,Hidalgo,48215,Hidalgo
455561,BEAUMONT HEALTH CARE CENTER,TX,Jefferson,BEAUMONT,77707,30.0687,-94.155,Jefferson,48245,Jefferson
455563,DENISON NURSING AND REHAB,TX,Grayson,DENISON,75021,33.7398,-96.536,Grayson,48181,Grayson
