zcta5,county_geoid,land_share_tx
73949,48421,1
73960,48421,1
75001,48113,1
75002,48085,1
75006,48113,1
75007,48121,0.9037694147186349
75009,48085,0.9308220754834696
75010,48121,1
75013,48085,1
75019,48113,0.9803539718674014
75020,48181,1
75021,48181,1
75022,48121,0.9512460926208129
75023,48085,1
75024,48085,0.8749933567131327
75025,48085,1
75028,48121,0.9768657632772407
75032,48397,1
75033,48121,0.5480169345034935
75034,48085,0.5645441028323454
75035,48085,1
75036,48121,1
75038,48113,1
75039,48113,1
75040,48113,1
75041,48113,1
75042,48113,1
75043,48113,1
75044,48113,0.9958710298877773
75048,48113,0.806418678642654
75050,48113,0.7886888433925421
75051,48113,0.8696267540332926
75052,48113,0.5933055640618189
75054,48439,0.6515303328858453
75056,48121,1
75057,48121,1
75058,48181,1
75060,48113,1
75061,48113,1
75062,48113,1
75063,48113,1
75065,48121,1
75067,48121,0.9615993622479899
75068,48121,1
75069,48085,1
75070,48085,1
75071,48085,1
75072,48085,1
75074,48085,1
75075,48085,1
75076,48181,1
75077,48121,1
75078,48085,0.7011461577082931
75080,48113,0.7087146153542906
75081,48113,1
75082,48085,0.8457150806245244
75087,48397,0.9373391498849458
75088,48113,0.8729430319483372
75089,48113,0.9632393037883008
75090,48181,1
75092,48181,1
75093,48085,0.9020310173934736
75094,48085,1
75098,48085,0.8659521707128548
75101,48139,1
75102,48349,1
75103,48467,1
75104,48113,0.9377494295688554
75105,48349,1
75109,48349,1
75110,48349,1
75114,48257,1
75115,48113,1
75116,48113,1
75117,48467,1
75119,48139,0.9436951802897423
75124,48213,0.7291695921733635
75125,48139,0.7147175306344413
75126,48257,0.9735030363826563
75127,48467,1
75132,48397,1
75134,48113,1
75135,48231,1
75137,48113,1
75140,48467,0.9815331965358473
75141,48113,1
75142,48257,1
75143,48257,0.5399068474476613
75144,48349,1
75146,48113,0.9941744494284418
75147,48467,0.5576939678630088
75148,48213,1
75149,48113,1
75150,48113,1
75152,48139,1
75153,48349,1
75154,48139,0.8753874994614699
75155,48349,1
75156,48213,0.9994731097944802
75157,48257,1
75158,48257,1
75159,48113,0.6290702302577119
75160,48257,0.827934672687735
75161,48257,1
75163,48213,1
75164,48085,1
75165,48139,1
75166,48085,1
75167,48139,1
75169,48467,0.8863854863706371
75172,48113,1
75173,48085,1
75180,48113,1
75181,48113,1
75182,48113,1
75189,48397,0.42348966443550384
75201,48113,1
75202,48113,1
75203,48113,1
75204,48113,1
75205,48113,1
75206,48113,1
75207,48113,1
75208,48113,1
75209,48113,1
75210,48113,1
75211,48113,1
75212,48113,1
75214,48113,1
75215,48113,1
75216,48113,1
75217,48113,1
75218,48113,1
75219,48113,1
75220,48113,1
75223,48113,1
75224,48113,1
75225,48113,1
75226,48113,1
75227,48113,1
75228,48113,1
75229,48113,1
75230,48113,1
75231,48113,1
75232,48113,1
75233,48113,1
75234,48113,1
75235,48113,1
75236,48113,1
75237,48113,1
75238,48113,1
75240,48113,1
75241,48113,1
75243,48113,1
75244,48113,1
75246,48113,1
75247,48113,1
75248,48113,0.9938463909914734
75249,48113,1
75251,48113,1
75252,48085,0.9215005434123406
75253,48113,1
75254,48113,1
75261,48439,1
75270,48113,1
75287,48085,0.5821737845367603
75390,48113,1
75401,48231,1
75402,48231,1
75407,48085,1
75409,48085,1
75410,48499,0.5106263396135017
75411,48277,1
75412,48387,1
75413,48147,1
75414,48181,1
75415,48119,1
75416,48277,0.9883754725665853
75417,48387,1
75418,48147,1
75420,48223,0.9912192817457719
75421,48277,1
75422,48231,1
75423,48231,0.9420893233174604
75424,48085,0.9189959616812792
75426,48387,1
75428,48231,0.8333522845015218
75429,48231,1
75431,48223,0.7701164640861684
75432,48119,1
75433,48223,0.9806459831254845
75434,48277,1
75435,48277,0.5440595456712487
75436,48387,0.9370876057605275
75437,48223,1
75438,48147,1
75439,48147,1
75440,48379,0.974846240763178
75441,48119,1
75442,48085,0.8357791704317543
75446,48147,0.754302333157303
75447,48147,1
75448,48119,1
75449,48147,0.6933931281977175
75450,48119,1
75451,48063,0.8819688952217769
75452,48147,0.7987386122322195
75453,48231,0.7309252740672636
75454,48085,1
75455,48449,0.9627243657282883
75457,48159,1
75459,48181,1
75460,48277,1
75462,48277,1
75468,48277,1
75469,48119,0.8566479048992943
75470,48277,1
75471,48223,0.94720826463614
75472,48379,0.9884223781960043
75473,48277,1
75474,48231,0.954970872126351
75475,48147,1
75476,48147,1
75477,48277,1
75478,48223,0.9160325469114505
75479,48147,0.9692919961616064
75480,48159,0.9707147907022351
75481,48223,0.9250334548343586
75482,48223,1
75486,48277,1
75487,48159,0.6634954443716216
75488,48147,1
75489,48181,1
75490,48147,0.9679443585133013
75491,48181,0.584169629934463
75492,48147,1
75493,48449,1
75494,48499,0.6915585872718139
75495,48181,0.9454531373405405
75496,48231,0.5902549011527972
75497,48499,0.7480028678688981
75501,48037,1
75503,48037,1
75550,48387,1
75551,48067,1
75554,48387,0.8102269248129996
75555,48067,0.9125845825568221
75556,48067,1
75558,48449,0.9907117774786189
75559,48037,0.918093168116552
75560,48067,1
75561,48037,1
75562,48067,1
75563,48067,1
75564,48067,1
75565,48067,1
75566,48067,1
75567,48037,1
75568,48067,0.7361974446259842
75569,48037,1
75570,48037,1
75571,48343,0.9234080742079739
75572,48067,1
75573,48037,1
75574,48037,1
75601,48183,0.7791631180980154
75602,48203,0.8084176841103947
75603,48183,0.8909150997494
75604,48183,0.9793232893091988
75605,48183,0.5836057352354067
75630,48067,0.5513199935580058
75631,48365,1
75633,48365,1
75638,48343,0.969673413442867
75639,48365,1
75640,48203,0.599210087470066
75641,48401,0.789773594446743
75642,48365,0.6545987591574538
75643,48365,0.8668212049643605
75644,48459,1
75645,48459,0.9781055951411843
75647,48183,0.4322677690045149
75650,48203,1
75651,48203,0.9088323820048174
75652,48401,0.9833952524500258
75654,48401,0.9963602731523269
75656,48067,0.9173302976871024
75657,48315,0.8728399744041275
75658,48401,1
75659,48203,1
75661,48203,1
75662,48183,0.5275655924527596
75667,48401,1
75668,48343,0.819200946336847
75669,48365,0.8291900091473571
75670,48203,1
75671,48203,1
75672,48203,0.9974754455235535
75680,48401,1
75681,48401,1
75682,48401,1
75683,48459,0.8304124841480902
75684,48401,0.8283570869596578
75686,48063,0.6939992890631633
75687,48401,1
75689,48401,1
75691,48401,0.7832330512048759
75692,48203,0.9384127439142492
75693,48183,1
75694,48203,1
75701,48423,1
75702,48423,1
75703,48423,1
75704,48423,1
75705,48423,1
75706,48423,1
75707,48423,1
75708,48423,1
75709,48423,1
75711,48423,1
75750,48423,1
75751,48213,0.681276195812149
75752,48213,0.8956746931285147
75754,48467,1
75755,48459,0.9524038386512909
75756,48213,0.9696132611434202
75757,48073,0.6937417859522915
75758,48213,0.7991511373175868
75759,48073,1
75760,48347,0.6803653271077341
75762,48423,1
75763,48001,0.6909252288857658
75764,48073,1
75765,48499,0.9893074015307933
75766,48073,1
75770,48213,1
75771,48423,1
75773,48499,0.8243529842824353
75778,48213,0.8690273964056412
75779,48001,1
75780,48073,1
75782,48213,1
75783,48499,1
75784,48401,0.6158896819061204
75785,48073,1
75788,48347,1
75789,48073,0.6352406503478233
75790,48467,0.9585827770294839
75791,48423,1
75792,48423,1
75801,48001,1
75803,48001,0.9964946133635644
75831,48289,0.7018169057347735
75833,48289,1
75835,48225,1
75838,48161,0.8911521814126689
75839,48001,0.9622133611163316
75840,48161,1
75844,48225,0.82242763439420985
75845,48455,1
75846,48289,0.8146764211133323
75847,48225,0.8691731015574227
75848,48161,1
75849,48225,1
75850,48289,1
75851,48225,0.8812381497146444
75852,48313,0.7775136046418366
75853,48001,0.9778759388394284
75855,48289,0.5803535368659075
75856,48225,0.7098215119480511
75858,48225,1
75859,48161,0.7563391900085636
75860,48161,1
75861,48001,1
75862,48455,0.7880325758386111
75865,48455,1
75884,48001,1
75886,48001,1
75901,48005,1
75903,48005,1
75904,48005,0.8502886221640326
75925,48073,1
75926,48455,1
75928,48351,1
75929,48405,1
75930,48405,0.5629405457031549
75931,48241,0.833370173206093
75932,48351,1
75933,48351,0.9169306165489822
75934,48373,1
75935,48419,0.8930255354424552
75936,48457,0.8221231460412332
75937,48347,1
75938,48457,1
75939,48373,1
75941,48005,1
75942,48457,1
75943,48347,1
75944,48347,1
75946,48347,0.6814113299159834
75948,48403,0.9589426940582233
75949,48005,1
75951,48241,0.9945852540088728
75954,48419,0.8786612242636676
75956,48241,0.8816011716524291
75959,48403,1
75960,48373,1
75961,48347,1
75962,48347,1
75964,48347,1
75965,48347,1
75966,48351,0.9885443504800756
75968,48403,1
75969,48005,0.8543520611947872
75972,48405,0.7879577183051548
75973,48419,1
75974,48419,0.5946806846001587
75975,48419,0.8737753474765967
75976,48073,1
75977,48351,1
75979,48457,1
75980,48005,0.8835254497623855
76001,48439,1
76002,48439,1
76005,48439,1
76006,48439,1
76008,48367,0.9287028597888758
76009,48251,1
76010,48439,1
76011,48439,1
76012,48439,1
76013,48439,1
76014,48439,1
76015,48439,1
76016,48439,1
76017,48439,1
76018,48439,1
76020,48367,0.668710072223428
76021,48439,1
76022,48439,1
76023,48497,0.9716329392361216
76028,48251,0.7710308729661521
76031,48251,1
76033,48251,0.8571978772080345
76034,48439,1
76035,48367,0.5915887149388102
76036,48439,0.7795682025638112
76039,48439,1
76040,48439,1
76041,48139,1
76043,48425,0.8188431811239366
76044,48251,1
76048,48221,0.9426922903947755
76049,48221,0.9800168424482062
76050,48251,0.6355561144412847
76051,48439,0.9837481104085397
76052,48439,0.5723274033630777
76053,48439,1
76054,48439,1
76055,48217,1
76058,48251,1
76059,48251,1
76060,48439,1
76061,48251,1
76063,48439,0.7434050871112137
76064,48139,1
76065,48139,0.9980032575420834
76066,48367,0.9763793509737534
76067,48363,0.9066903650922981
76070,48425,0.9070433911360105
76071,48497,0.9489628227366481
76073,48497,1
76077,48425,1
76078,48497,0.996086862930765
76082,48367,0.7384093714726149
76084,48251,0.5241583590055542
76085,48367,1
76086,48367,1
76087,48367,0.9557920065743795
76088,48367,1
76092,48439,0.9165477954726259
76093,48251,0.80206669921468
76102,48439,1
76103,48439,1
76104,48439,1
76105,48439,1
76106,48439,1
76107,48439,1
76108,48439,0.7230030781318006
76109,48439,1
76110,48439,1
76111,48439,1
76112,48439,1
76114,48439,1
76115,48439,1
76116,48439,1
76117,48439,1
76118,48439,1
76119,48439,1
76120,48439,1
76123,48439,1
76126,48439,0.7275448377988037
76127,48439,1
76129,48439,1
76131,48439,1
76132,48439,1
76133,48439,1
76134,48439,1
76135,48439,1
76137,48439,1
76140,48439,1
76148,48439,1
76155,48439,1
76164,48439,1
76177,48439,0.6732407037490489
76179,48439,1
76180,48439,1
76182,48439,1
76201,48121,1
76203,48121,1
76205,48121,1
76207,48121,1
76208,48121,1
76209,48121,1
76210,48121,1
76225,48497,0.992673023555574
76226,48121,1
76227,48121,1
76228,48077,0.8982074641083512
76230,48337,0.6082045224319474
76233,48181,0.7598249230455678
76234,48497,0.9195610081127821
76238,48097,1
76239,48337,0.8805204059192046
76240,48097,0.9994269756710281
76241,48097,1
76244,48439,1
76245,48181,1
76247,48121,0.9657908974580824
76248,48439,1
76249,48121,0.9546711735476023
76250,48097,1
76251,48337,1
76252,48097,0.978856339799543
76253,48097,1
76255,48337,1
76258,48121,0.8358267597863929
76259,48121,0.9585988557904682
76261,48337,0.6357957665781206
76262,48121,0.7194333179582392
76263,48097,1
76264,48181,1
76265,48337,0.8369707669447598
76266,48121,0.9705087332090838
76267,48497,1
76268,48181,1
76270,48337,0.7138200274556866
76271,48181,0.7175721326523936
76272,48097,0.9573557929232073
76273,48181,0.5182501349293013
76301,48485,1
76302,48485,0.9995135601152351
76305,48077,0.6861352574460302
76306,48485,1
76308,48485,0.8674981242866621
76309,48485,1
